doy,goiás_2011,goiás_2012,goiás_2013,goiás_2014,guanacaste_2011,guanacaste_2012,guanacaste_2013,guanacaste_2014,mato_grosso_2011,mato_grosso_2012,mato_grosso_2013,mato_grosso_2014,mg_do_sul_2011,mg_do_sul_2012,mg_do_sul_2013,mg_do_sul_2014,minas_gerais_2011,minas_gerais_2012,minas_gerais_2013,minas_gerais_2014,paraná_2011,paraná_2012,paraná_2013,paraná_2014,são_paulo_2011,são_paulo_2012,são_paulo_2013,são_paulo_2014
0,,,72,82,15,21,26,15,,,,2,90,90,3,11,,1,5,15,12,9,4,4,,,1,1
1,,,,4,19,22,33,8,,,1,1,,,2,25,,,1,6,2,2,44,37,,,,1
2,,,,14,19,21,47,12,,,,1,,4,31,16,2,5,,17,1,1,56,38,,1,,14
3,2,,,25,21,21,84,31,,,,,8,17,333,62,9,2,,27,2,15,212,63,6,,4,36
4,15,53,1,173,41,22,135,25,,,,33,7,104,75,908,50,10,,62,,132,278,434,,14,12,180
5,56,213,,188,9,27,211,38,,10,,3,2,313,5,94,108,56,,76,,316,41,330,31,69,2,328
6,10,34,1,,7,43,171,51,,,,,5,86,6,1,3,29,6,1,6,58,33,41,8,35,9,4
7,13,23,21,,26,132,133,271,,9,,,61,33,4,,8,7,4,3,87,68,143,252,35,33,15,13
8,,462,98,8,24,219,64,317,,26,,,,92,16,2,,286,4,12,5,28,161,732,,79,24,29
9,,1057,257,,54,202,307,86,,88,68,,,399,4,11,,332,66,,12,560,19,14,,95,4,5
10,,38,50,6,35,234,54,230,,1,,,3,306,,2,,18,11,1,66,62,,9,1,82,,12
11,,4,15,3,50,195,21,226,,,,,,264,,2,,11,,,27,43,5,4,,29,,19
12,,97,,1,36,348,166,327,,33,1,,3,559,32,22,,71,,,1,20,,12,,47,,22
13,,41,,24,4,5,60,258,,14,,,22,234,27,113,,30,2,13,23,16,,5,13,40,,203
14,6,1,,20,45,128,83,7,,,,,32,99,,2,10,10,,1,25,8,,,10,4,1,13
15,22,2,2,7,13,1,6,,11,1,4,2,26,37,224,25,14,18,,2,,,14,,35,5,23,7
16,59,19,23,26,3,,52,,131,4,13,4,15,28,324,167,32,8,3,30,2,,34,2,15,22,26,18
17,125,86,152,49,4,,23,2,258,217,40,142,69,491,435,58,119,20,34,86,31,14,75,15,130,28,142,36
18,175,141,32,106,,,205,12,181,416,65,188,199,619,70,141,48,15,50,29,62,37,19,125,232,66,100,86
19,45,6,55,58,,,,,303,59,160,158,130,69,7,41,34,,10,8,30,8,,49,104,5,46,48
20,39,41,31,69,,,,,714,97,292,239,197,151,33,6,18,19,8,51,17,17,1,3,200,121,33,10
21,163,171,62,82,,,,,765,582,121,1388,170,92,62,53,290,50,2,57,18,12,10,2,253,402,24,109
22,201,516,69,182,,,,,1468,823,229,1374,66,138,298,58,339,74,26,129,2,1,143,48,310,149,79,485
23,122,137,97,115,,,,,439,441,403,1367,185,83,50,147,64,14,45,145,28,63,1,49,223,43,70,259
24,463,71,94,118,,,,,768,451,527,938,281,47,2,255,171,2,32,194,158,5,,95,512,29,35,162
25,507,334,185,329,,,,,1597,1740,1126,4010,112,387,16,353,288,50,96,351,149,19,2,40,644,79,71,413
26,605,1323,309,957,,,,,1262,1901,1110,6417,98,1328,58,586,527,90,117,679,1,19,27,22,422,207,121,693
27,333,432,165,271,,,,,1229,1929,1168,2583,290,435,223,87,311,73,79,226,202,2,29,3,498,68,112,162
28,438,439,185,1014,,,,,845,1778,1267,2195,135,635,146,176,235,59,54,609,42,29,11,,297,61,36,248
29,784,1967,272,22090,,,,,3184,3946,3712,6913,444,1637,298,345,358,565,180,1953,66,65,41,2,642,230,107,218
30,2380,2260,605,15392,,,,,5195,9048,5733,8187,252,3637,558,552,1376,374,564,2442,7,154,64,77,296,175,299,794
31,1957,1882,619,2620,,,,,5312,12589,5512,10679,731,6751,388,365,1449,463,731,797,124,101,114,56,966,251,217,966
32,3770,1941,395,1607,,,,,3690,9607,4061,10099,822,2496,742,153,1619,562,475,515,37,45,153,32,1419,268,182,515
33,4825,2726,1584,4632,,,,,8042,17802,10902,20796,267,10679,685,682,2253,715,640,1813,13,105,188,141,1088,566,680,2155
34,8639,9840,2459,4903,,,,,14101,39960,17022,16269,2095,12289,4145,383,5467,2062,1142,3676,102,293,755,61,2535,877,816,3121
35,12014,18344,3258,4845,,,,,24340,63004,7110,9197,8951,11664,7219,711,9130,7299,992,2172,571,356,852,177,3847,1174,1048,1933
36,5893,14216,2042,6139,,,,,4108,24784,5764,12346,2743,5255,2594,1013,6129,6943,1231,2475,203,108,749,313,1126,940,638,2204
37,5987,5458,3775,7838,,,,,12656,1546,727,583,601,516,331,775,4647,3343,1463,3373,202,398,65,116,782,742,327,2032
38,6233,8315,2730,5812,,,,,3266,1820,4013,196,1929,1795,3896,294,12839,2635,2317,4995,568,2724,378,198,2937,1182,341,1718
39,593,14889,76,6662,,,,,83,1431,28,1097,492,572,1350,453,1797,8123,139,2947,183,905,207,50,417,1084,17,576
