field_id,year,hectares,modis,pixels,burned_pixels,days_burned,num_burned
003001900100181,,214.660,h13v10,10,,,
003001900100182,,128.796,h13v10,6,,,
003001900100183,,128.796,h13v10,6,,,
003001900100184,,214.660,h13v10,10,,,
003001900100185,,171.728,h13v10,8,,,
003001900100186,,128.796,h13v10,6,,,
003001900100187,,171.728,h13v10,8,,,
003001900100188,,171.728,h13v10,8,,,
003001900100189,,257.592,h13v10,12,,,
003001900100190,,85.864,h13v10,4,,,
003001900200082,,171.728,h13v10,8,,,
003001900200083,,214.660,h13v10,10,,,
003001900200084,,214.660,h13v10,10,,,
003001900200085,,171.728,h13v10,8,,,
003001900302014,,300.524,h13v10,14,,,
003001900400005,,128.796,h13v10,6,,,
003001900400006,,85.864,h13v10,4,,,
003001900400007,,128.796,h13v10,6,,,
003001900400008,,85.864,h13v10,4,,,
003001900500014,,257.592,h13v10,12,,,
003001900600016,,214.660,h13v10,10,,,
003001900600017,,257.592,h13v10,12,,,
003001900700019,,300.524,h13v10,14,,,
003001900700020,,214.660,h13v10,10,,,
003001900800050,,171.728,h13v10,8,,,
003001900800051,,257.592,h13v10,12,,,
003001900800052,,257.592,h13v10,12,,,
003001900800053,,257.592,h13v10,12,,,
003001900800054,,85.864,h13v10,4,,,
003001900900025,,300.524,h13v10,14,,,
003001900900026,,343.456,h13v10,16,,,
003001901000027,,257.592,h13v10,12,,,
003001901000028,,300.524,h13v10,14,,,
003001901100030,,171.728,h13v10,8,,,
003001901200045,,85.864,h13v10,4,,,
003001901200046,,214.660,h13v10,10,,,
003001901200047,,171.728,h13v10,8,,,
003001901200048,,128.796,h13v10,6,,,
003001901200049,,42.932,h13v10,2,,,
003001901300067,,171.728,h13v10,8,,,
003001901300068,,85.864,h13v10,4,,,
003001901300069,,85.864,h13v10,4,,,
003001901400167,,171.728,h13v10,8,,,
003001901400168,,257.592,h13v10,12,,,
003001901400169,,171.728,h13v10,8,,,
003001901500095,,300.524,h13v10,14,,,
003001901500096,,214.660,h13v10,10,,,
003001901600022,,171.728,h13v10,8,,,
003001901600023,,214.660,h13v10,10,,,
003001901600024,,214.660,h13v10,10,,,
003001901800031,,343.456,h13v10,16,,,
003001901900032,,343.456,h13v10,16,,,
003001901900033,,300.524,h13v10,14,,,
003001902100001,,300.524,h13v10,14,,,
003001902100002,,171.728,h13v10,8,,,
003001902100003,,257.592,h13v10,12,,,
003001902200010,,257.592,h13v10,12,,,
003001902200011,,214.660,h13v10,10,,,
003001902200012,,171.728,h13v10,8,,,
003001902302014,,472.252,h13v10,22,,,
003001902400029,,85.864,h13v10,4,,,
003001902500075,,85.864,h13v10,4,,,
003001902500076,,214.660,h13v10,10,,,
003001902500077,,171.728,h13v10,8,,,
003001902600071,,300.524,h13v10,14,,,
003001902600072,,171.728,h13v10,8,,,
003001902600073,,214.660,h13v10,10,,,
003001902600074,,171.728,h13v10,8,,,
003001902702014,,171.728,h13v10,8,,,
003006800100001,,171.728,h13v10,8,,,
003006800100002,,171.728,h13v10,8,,,
003006800100003,,171.728,h13v10,8,,,
003006800100004,,171.728,h13v10,8,,,
003006800100005,,257.592,h13v10,12,,,
003006800100006,,128.796,h13v10,6,,,
003006800100007,,171.728,h13v10,8,,,
003006800202014,,515.184,h13v10,24,,,
003006800300008,,257.592,h13v10,12,,,
003006800300009,,214.660,h13v10,10,,,
003006800300010,,429.320,h13v10,20,,,
003006800400011,,300.524,h13v10,14,,,
003006800400012,,300.524,h13v10,14,,,
003006800500049,,128.796,h13v10,6,,,
003006800500050,,128.796,h13v10,6,,,
003006800500051,,171.728,h13v10,8,,,
003006800500052,,171.728,h13v10,8,,,
003006800500053,,171.728,h13v10,8,,,
003006800500054,,171.728,h13v10,8,,,
003006800500055,,214.660,h13v10,10,,,
