"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
13059,55,"CRI","Costa Rica",1,"Alajuela",1,"Alajuela","","","Canton","Canton"
13060,55,"CRI","Costa Rica",1,"Alajuela",2,"Alfaro Ruiz","","","Canton","Canton"
13061,55,"CRI","Costa Rica",1,"Alajuela",3,"Atenas","","","Canton","Canton"
13062,55,"CRI","Costa Rica",1,"Alajuela",4,"Grecia","","","Canton","Canton"
13063,55,"CRI","Costa Rica",1,"Alajuela",5,"Guatuso","","","Canton","Canton"
13064,55,"CRI","Costa Rica",1,"Alajuela",6,"Los Chiles","","","Canton","Canton"
13065,55,"CRI","Costa Rica",1,"Alajuela",7,"Naranjo","","","Canton","Canton"
13066,55,"CRI","Costa Rica",1,"Alajuela",8,"Orotina","","","Canton","Canton"
13067,55,"CRI","Costa Rica",1,"Alajuela",9,"Palmares","","","Canton","Canton"
13068,55,"CRI","Costa Rica",1,"Alajuela",10,"Poás","","","Canton","Canton"
13069,55,"CRI","Costa Rica",1,"Alajuela",11,"San Carlos","","","Canton","Canton"
13070,55,"CRI","Costa Rica",1,"Alajuela",12,"San Mateo","","","Canton","Canton"
13071,55,"CRI","Costa Rica",1,"Alajuela",13,"San Ramón","","","Canton","Canton"
13072,55,"CRI","Costa Rica",1,"Alajuela",14,"Upala","","","Canton","Canton"
13073,55,"CRI","Costa Rica",1,"Alajuela",15,"Valverde Vega","","","Canton","Canton"
13074,55,"CRI","Costa Rica",2,"Cartago",16,"Alvarado","","","Canton","Canton"
13075,55,"CRI","Costa Rica",2,"Cartago",17,"Cartago","","","Canton","Canton"
13076,55,"CRI","Costa Rica",2,"Cartago",18,"El Guarco","","","Canton","Canton"
13077,55,"CRI","Costa Rica",2,"Cartago",19,"Jiménez","","","Canton","Canton"
13078,55,"CRI","Costa Rica",2,"Cartago",20,"La Unión","","","Canton","Canton"
13079,55,"CRI","Costa Rica",2,"Cartago",21,"Oreamuno","","","Canton","Canton"
13080,55,"CRI","Costa Rica",2,"Cartago",22,"Paraíso","","","Canton","Canton"
13081,55,"CRI","Costa Rica",2,"Cartago",23,"Turrialba","","","Canton","Canton"
13082,55,"CRI","Costa Rica",3,"Guanacaste",24,"Abangares","","","Canton","Canton"
13083,55,"CRI","Costa Rica",3,"Guanacaste",25,"Bagaces","","","Canton","Canton"
13084,55,"CRI","Costa Rica",3,"Guanacaste",26,"Cañas","","","Canton","Canton"
13085,55,"CRI","Costa Rica",3,"Guanacaste",27,"Carrillo","","","Canton","Canton"
13086,55,"CRI","Costa Rica",3,"Guanacaste",28,"Hojancha","","","Canton","Canton"
13087,55,"CRI","Costa Rica",3,"Guanacaste",29,"La Cruz","","","Canton","Canton"
13088,55,"CRI","Costa Rica",3,"Guanacaste",30,"Liberia","","","Canton","Canton"
13089,55,"CRI","Costa Rica",3,"Guanacaste",31,"Nandayure","","","Canton","Canton"
13090,55,"CRI","Costa Rica",3,"Guanacaste",32,"Nicoya","","","Canton","Canton"
13091,55,"CRI","Costa Rica",3,"Guanacaste",33,"Santa Cruz","","","Canton","Canton"
13092,55,"CRI","Costa Rica",3,"Guanacaste",34,"Tilarán","","","Canton","Canton"
13093,55,"CRI","Costa Rica",4,"Heredia",35,"Barva","","","Canton","Canton"
13094,55,"CRI","Costa Rica",4,"Heredia",36,"Belén","","","Canton","Canton"
13095,55,"CRI","Costa Rica",4,"Heredia",37,"Flores","","","Canton","Canton"
13096,55,"CRI","Costa Rica",4,"Heredia",38,"Heredia","","","Canton","Canton"
13097,55,"CRI","Costa Rica",4,"Heredia",39,"San Isidro","","","Canton","Canton"
13098,55,"CRI","Costa Rica",4,"Heredia",40,"San Pablo","","","Canton","Canton"
13099,55,"CRI","Costa Rica",4,"Heredia",41,"San Rafael","","","Canton","Canton"
13100,55,"CRI","Costa Rica",4,"Heredia",42,"Santa Bárbara","","","Canton","Canton"
13101,55,"CRI","Costa Rica",4,"Heredia",43,"Santo Domingo","","","Canton","Canton"
13102,55,"CRI","Costa Rica",4,"Heredia",44,"Sarapiquí","","","Canton","Canton"
13103,55,"CRI","Costa Rica",5,"Limón",45,"Guácimo","","","Canton","Canton"
13104,55,"CRI","Costa Rica",5,"Limón",46,"Limón","","","Canton","Canton"
13105,55,"CRI","Costa Rica",5,"Limón",47,"Matina","","","Canton","Canton"
13106,55,"CRI","Costa Rica",5,"Limón",48,"Pococí","","","Canton","Canton"
13107,55,"CRI","Costa Rica",5,"Limón",49,"Siquirres","","","Canton","Canton"
13108,55,"CRI","Costa Rica",5,"Limón",50,"Talamanca","","","Canton","Canton"
13109,55,"CRI","Costa Rica",6,"Puntarenas",51,"Aguirre","","","Canton","Canton"
13110,55,"CRI","Costa Rica",6,"Puntarenas",52,"Buenos Aires","","","Canton","Canton"
13111,55,"CRI","Costa Rica",6,"Puntarenas",53,"Corredores","","","Canton","Canton"
13112,55,"CRI","Costa Rica",6,"Puntarenas",54,"Coto Brus","","","Canton","Canton"
13113,55,"CRI","Costa Rica",6,"Puntarenas",55,"Esparza","","","Canton","Canton"
13114,55,"CRI","Costa Rica",6,"Puntarenas",56,"Garabito","","","Canton","Canton"
13115,55,"CRI","Costa Rica",6,"Puntarenas",57,"Golfito","","","Canton","Canton"
13116,55,"CRI","Costa Rica",6,"Puntarenas",58,"Montes de Oro","","","Canton","Canton"
13117,55,"CRI","Costa Rica",6,"Puntarenas",59,"Osa","","","Canton","Canton"
13118,55,"CRI","Costa Rica",6,"Puntarenas",60,"Parrita","","","Canton","Canton"
13119,55,"CRI","Costa Rica",6,"Puntarenas",61,"Puntarenas","","","Canton","Canton"
13120,55,"CRI","Costa Rica",7,"San José",62,"Acosta","","AcoSanta","Canton","Canton"
13121,55,"CRI","Costa Rica",7,"San José",63,"Alajuelita","","","Canton","Canton"
13122,55,"CRI","Costa Rica",7,"San José",64,"Aserrí","","","Canton","Canton"
13123,55,"CRI","Costa Rica",7,"San José",65,"Curridabat","","","Canton","Canton"
13124,55,"CRI","Costa Rica",7,"San José",66,"Desamparados","","","Canton","Canton"
13125,55,"CRI","Costa Rica",7,"San José",67,"Dota","","","Canton","Canton"
13126,55,"CRI","Costa Rica",7,"San José",68,"Escazú","","","Canton","Canton"
13127,55,"CRI","Costa Rica",7,"San José",69,"Goicoechea","","","Canton","Canton"
13128,55,"CRI","Costa Rica",7,"San José",70,"León Cortés","","Leon Cortes C.","Canton","Canton"
13129,55,"CRI","Costa Rica",7,"San José",71,"Montes de Oca","","","Canton","Canton"
13130,55,"CRI","Costa Rica",7,"San José",72,"Mora","","","Canton","Canton"
13131,55,"CRI","Costa Rica",7,"San José",73,"Moravia","","","Canton","Canton"
13132,55,"CRI","Costa Rica",7,"San José",74,"Pérez Zeledón","","","Canton","Canton"
13133,55,"CRI","Costa Rica",7,"San José",75,"Puriscal","","","Canton","Canton"
13134,55,"CRI","Costa Rica",7,"San José",76,"San José","","","Canton","Canton"
13135,55,"CRI","Costa Rica",7,"San José",77,"Santa Ana","","","Canton","Canton"
13136,55,"CRI","Costa Rica",7,"San José",78,"Tarrazú","","","Canton","Canton"
13137,55,"CRI","Costa Rica",7,"San José",79,"Tibás","","","Canton","Canton"
13138,55,"CRI","Costa Rica",7,"San José",80,"Turrubares","","","Canton","Canton"
13139,55,"CRI","Costa Rica",7,"San José",81,"Vásquez de Coronado","","Vazquez de Cor.","Canton","Canton"
